Dota 2, Counter-Strike Global Offensive, Team Fortress 2, Counter-Strike, Sid Meier's Civilization V, Counter-Strike Source, The Elder Scrolls V Skyrim, Garry's Mod, Call of Duty Modern Warfare 2 - Multiplayer, Left 4 Dead 2, Terraria, Football Manager 2013, Football Manager 2012, Warframe, Football Manager 2015, Football Manager 2014, Arma 3, Grand Theft Auto V, Borderlands 2, Empire Total War
25031952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25185866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25349446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25445382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25634320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25822628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25827559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25831175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25889289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25941262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26218938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26461910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26491227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26583023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26593066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26601561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26637363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26779878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26897314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27029121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27168078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27371247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27424183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27578696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27685049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27770064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27835216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27871778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27925556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28040133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28116270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28236623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28424408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28425181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28453247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28705385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28815669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28818246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28886158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28898493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29001140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29078995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29122428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29405242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29491264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29736184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29962674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30007387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30010437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30067217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30142763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30221587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30454984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30588978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30710202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31178210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31241223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31559824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31616745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31662213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31757271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31764594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31887051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31889811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32398422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32617936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32939936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32965833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33096779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33228985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33250362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33260507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33291661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33431754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33434940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33658023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33705095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33778112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33866564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34124250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34858979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34863766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35116894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35290890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35418544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35432082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35433662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35489574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35560181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36109630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36154073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36157772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36495125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36856786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37252377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37419728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37522295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38055594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38132168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38337633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38763767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38885272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38950395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38968408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38978172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39028341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39052243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39061760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39446138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39663272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39980669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40045419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40237093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40529387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40964799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40997928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41088397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41247053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41407280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41566004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41843900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41917762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41934963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41998087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42017429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42043359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42454699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42493197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42642155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42669917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43093291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43462452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43518355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44147477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44421638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45016429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45066450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45094639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45314861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45507376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46021731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46115507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46542904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47296055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47636024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48415876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48985770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49319563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49759696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50837658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50967861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51512715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51905751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52438281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53181165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53296539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54097980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54111916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54124359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54353026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54553556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54704882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54888069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54990424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55464294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55944717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56091522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56416303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56667587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57194796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57333945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57500988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57755503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57866383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58013959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58252208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58280709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58330533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58662652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58897206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58930204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59219245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59264152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59784301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59866729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60236480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60594845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60828722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60910490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61003041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61367351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61444633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61614735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61635781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61642722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61831445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61935579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62562867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62985928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63020970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63454504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63595926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63753977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63763909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64455019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64645022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64971477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65155942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65472820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65895047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65944691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65962952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66006698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66215101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66250126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66403743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66463490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66550579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66725148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68414134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68935496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69033837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69132252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69467127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69880609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70165453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70167393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70373768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70395325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70703031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71082079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71132696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71480053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71486921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71574303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71611112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71926373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72519264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72557176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73481131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73507733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73597661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73754563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73826669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74077887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74290096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74557142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74565055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75115020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75465639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75515543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75517266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75767676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76046711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76190673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76211030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76216184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76933274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77261379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77262863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77736587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78142481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78339000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78369082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78560022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78600311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79049613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79124111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79216711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79316774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80091744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80117314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80309714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80394189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80419227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80650761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80814667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81079291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81128865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81196525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81487543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81574839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81911890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82235763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82432677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82438562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82792088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82792464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82807945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82866826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82895724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83198547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83482045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83572990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83589156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83792733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84024556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84095423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84487058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84555487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84585204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84668956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84686973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84706664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85041261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85342296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85395339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85546706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85625611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85853924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85862313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85968997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86073747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
